word,type_id
angiogenesis,2
angiologi,2
angiosperma,2
angit,1
angka,2
angkak,2
angkara,2
angkasa,2
angkat,4
angkel,2
angker,1
angket,2
angklung,2
angkuh,1
angkuk,2
angkup,2
angkur,2
angkusa,2
angkut,4
angkut-angkut,2
angler,1
anglo,2
angot,1
angpau,2
angsa,2
angsana,2
angsoka,2
angsur,4
anhidrosis,2
ani,2
ani-ani,2
aniaya,2
anil,2
anilina,2
animasi,2
animis,2
animisme,2
animo,2
anion,2
aniridia,1
anis,2
anisogamet,2
anisogami,2
anisokoria,2
anja,1
anjak,4
anjal,4
anjang,4
anjangsana,2
anjing,2
anjlok,4
anjung,2
ankilosis,2
anoa,2
anode,2
anofeles,2
anoksemia,2
anoksik,2
anom,1
anomali,2
anomi,2
anonim,1
anonimitas,2
anoreksia,2
anorganik,1
anosmia,2
anotasi,2
ansa,2
ansambel,2
ansar,2
anta,1
antagonis,2
antagonisme,2
antagonistis,1
antah,2
antamir,4
antan,2
antap,1
antar,4
antara,2
antarbangsa,1
antarbenua,1
antardaerah,2
antari,2
antariksa,2
antariksawan,2
antariksawati,2
antarkelompok,1
antarlingkungan,1
antarmaster,1
antarmolekul,2
antarmuka,2
antarnegara,1
antarplanet,1
antarpribadi,1
antarpulau,1
antarras,1
antarruang,1
antarsel,2
antarsuku,2
antartika,2
antarwilayah,1
antasid,2
antasida,2
antawacana,2
antediluvium,2
antefiks,2
antek,2
anteken,2
antelas,2
anteliks,2
antelmintik,2
antelop,2
antem,4
antemeridiem,1
antena,2
antenatal,2
anteng,1
antenul,2
antep,1
antera,2
anteridium,2
anterior,1
antero,6
anteseden,2
anti,0
antianemia,2
antiartritik,2
antibarion,2
antibeku,2
antibiosis,2
antibiotik,2
antibodi,2
antidepresan,2
antidioksida,2
antidiuretik,2
antidot,2
antienzim,2
antiflogistik,2
antigen,2
antigravitasi,2
antih,4
antihistamin,2
antijasad,2
antik,1
antikarat,1
antikatalis,2
antiklimaks,2
antiklin,2
antiklinal,1
antiklor,2
antikonsepsi,2
antikristus,2
antikuari,2
antikuariat,2
antimateri,2
antimonium,2
antimuntah,2
anting,2
antinomi,2
antinovel,2
antipartikel,2
antipati,2
antipenawar,2
antipiretik,2
antipode,2
antiproton,2
antipruritik,2
antisemitisme,2
antisepsis,2
antiseptik,1
antisiklogenesis,2
antisiklon,2
antisiklonal,1
antisiklonis,1
antisimpul,2
antisipasi,2
antisipatif,1
antitank,1
antitesis,2
antitoksin,2
antitragus,2
antiwirawan,2
antizarah,2
antoi,2
antologi,2
antonim,2
antonimi,2
antop,2
antosian,2
antraknosa,2
antraks,2
antrasena,2
antrasian,2
antrasit,2
antre,4
antri,4
antromorfis,2
antropobiologi,2
antropoda,2
antropofagi,2
antropogeografi,2
antropoid,1
antropolog,2
antropologi,2
antropometer,2
antropomorfisme,2
antroponimi,2
antroposentris,1
antroposentrisme,2
antroposofi,2
antuk,4
antul,4
antun,1
anturium,2
antusias,1
antusiasme,2
anu,2
anual,2
anugerah,2
anuitas,2
anulir,4
anulus,2
anumerta,1
anunasika,2
anuresis,2
anuria,2
anus,2
anuswara,2
anut,4
anyam,4
anyang,2
anyar,1
anyelir,2
anyir,1
aorta,2
apa,3
apabila,0
apak,1
apakah,3
apakala,3
apalagi,8
apam,2
apanase,2
apar,2
aparat,2
aparatur,2
aparatus,2
apartemen,2
apartemenisasi,2
apartheid,2
apartotel,2
apas,1
apatah,3
apati,2
apatis,1
apatride,1
ape,2
apek,1
apel,2
apelativa,2
apendektomi,2
apendiks,2
apendisitis,2
apepsi,2
apersepsi,2
apes,1
aphelion,2
apheliotropisme,2
api,2
apik,1
apikal,1
apikultur,2
apilan,2
apion,2
apit,2
apium,2
apkir,4
aplasi,2
aplaus,2
aplikasi,2
aplikatif,1
aplus,4
apnea,2
apodal,1
apoenzim,2
apogami,2
apoge,2
apograf,2
apok,2
apokalips,2
apokaliptik,1
apokope,2
apokrifa,2
apokrin,1
apokromatik,1
apolitis,1
apologetika,2
apologetis,1
apologi,2
apologia,2
apomiksis,2
apomorfin,2
apopleksi,2
aposematik,1
aposiopesis,2
aposisi,2
aposisional,1
apositif,1
apostasi,2
apostel,2
aposteriori,5
apostolik,1
apostrof,2
apotek,2
apoteker,2
apotik,2
apraksi,2
apraksia,2
apresiasi,2
apresiatif,1
apresorium,2
april,2
apriori,1
aprit,4
apron,2
apsara,2
aptasi,2
apu,2
apuh,1
apung,4
apuran,2
ara,2
arab,2
arababu,2
arabes,2
arabika,2
aragonit,2
arah,2
arai,2
arak,2
araknitis,2
araknoid,2
aral,2
aram,2
aramba,2
arang,2
aransemen,2
ararut,2
arasy,2
arau,1
arbab,2
arbei,2
arbiter,2
arbitrase,2
arbitrer,1
arboreal,1
arboretum,2
arborikultur,2
arca,2
arcas,2
ardi,2
are,2
area,2
areal,1
arek,2
aren,2
arena,2
areografi,2
areola,2
areometer,2
arerut,2
ares,2
arestasi,2
areta,2
argari,2
argentit,2
argentum,2
argirodit,2
argol,2
argometer,2
argon,2
argot,2
argumen,2
argumentasi,2
argumentatif,1
ari,2
aries,2
arif,1
arifin,2
arih,4
arik,4
aril,2
arip,1
aris,2
arisan,2
aristokrasi,2
aristokrat,2
aristokratis,1
aristotipe,2
arit,2
aritenoid,1
aritmetika,2
arja,2
arkade,2
arkais,1
arkaisme,2
arkati,2
arkegonium,2
arkeolog,2
arkeologi,2
arkeologis,1
arkeozoikum,2
arketipe,2
arkian,0
arkifonem,2
arkileksem,2
arkitraf,2
arktika,2
arku,2
arloji,2
armada,2
arnal,2
arogan,1
arogansi,2
aroma,2
aromatik,1
arombai,2
aron,1
arpus,2
arsenal,2
arsenik,2
arsenikum,2
arsip,2
arsipelago,2
arsir,4
arsis,2
arsitek,2
arsitektur,2
arta,2
artefak,2
arteri,2
arteriografi,2
arteriola,2
arteriosklerosis,2
artesis,2
artetis,1
arti,2
articok,2
artifisial,1
artikel,2
artikulasi,2
artikulator,2
artileri,2
artiodaktil,2
artis,2
artisan,2
artistik,1
artisyok,2
artona,2
artotek,2
artrobrankium,2
artropoda,2
aru,2
aruan,2
aruda,2
aruk,4
arumba,2
arun,4
arung,4
arus,2
arwah,2
arwana,2
arya,2
aryaduta,2
arzak,2
as,2
asa,2
asabat,2
asabiah,2
asad,2
asah,4
asai,2
asak,1
asal,2
asali,1
asam,2
asan,2
asana,2
asap,2
asar,2
asas,2
asasi,1
asbak,2
asbes,2
asbut,2
ase,2
aseksual,1
asepsis,2
aseptik,1
aseran,1
asese,4
aset,2
asetabulum,2
asetat,2
asetilena,2
asetimeter,2
aseton,2
asfal,2
asfar,2
asfiksia,2
asi,2
asibilan,2
asibilasi,2
asid,2
asidimeter,2
asidosis,2
asih,1
asiklik,1
asil,2
asilabis,1
asimetris,1
asimilasi,2
asimilatif,1
asimtot,2
asimus,2
asin,1
asindeton,2
asing,1
asinyor,2
asiri,1
asisten,2
asistensi,2
askar,2
askariasis,2
askarid,2
askese,2
asket,2
asketisisme,2
askon,2
askriptif,1
asli,2
asma,2
asmara,2
asmaradanta,1
asmaragama,2
asmaraloka,2
asmarandana,2
asnad,2
aso,4
asoi,1
asonansi,2
asong,4
asortimen,2
asosial,1
asosiasi,2
asosiatif,1
aspal,2
asparaga,2
asparagus,2
aspartame,2
aspek,2
asperses,2
aspiran,2
aspirasi,2
aspirasional,1
aspirat,2
aspiratif,1
aspirator,2
aspirin,2
asprak,2
asrama,2
asrar,2
asri,1
assalamualaikum,2
astadikpala,2
astaga,7
astagfirullah,7
astaka,2
astakona,2
astasia,1
astatik,1
astatin,2
astenia,2
astenik,1
astenopia,2
asteositoma,2
aster,2
asteroid,2
astigmatis,2
astral,1
astringen,2
astrofisika,2
astrolab,2
astrolog,2
astrologi,2
astronaut,2
astronautika,2
astronom,2
astronomi,2
astronomis,1
astrosit,2
asu,2
asuh,4
asumsi,2
asumtif,1
asung,4
asurador,2
asuransi,2
asusila,1
aswa,2
aswad,2
aswasada,2
asyera,2
asyik,1
asytoret,2
asyura,2
atak,2
ataksia,2
atap,2
atar,2
atas,2
atas nama,2
atase,2
atau,8
atavisme,2
ateis,2
ateisme,2
ateistis,1
atelir,2
atensi,2
atenuasi,2
ateret,4
ati,2
atlas,2
atlet,2
atletik,2
atma,2
atman,2
atmolisis,2
atmologi,2
atmometer,2
atmosfer,2
atmosferis,1
atok,2
atol,2
atom,2
atomisasi,2
atomistis,1
atowa,2
atraksi,2
atraktan,2
atraktif,1
atresia,2
atribut,2
atributif,1
atrisi,2
atrium,2
atrofi,2
atropin,2
atung,4
atur,4
atus,1
aubade,2
audiensi,2
audio,1
audiofil,2
audiofon,2
audiograf,2
audiogram,2
audiolingual,1
audiologi,2
audiometer,2
audiovisual,1
audit,2
auditor,2
auditorium,2
augmentatif,2
auk,2
auksanometer,2
auksi,2
auksin,2
aula,2
aulia,2
aum,2
aung,2
aur,2
aura,2
aural,1
aurat,2
aurikularia,2
aurora,2
aurum,2
aus,1
auskultasi,2
autad,2
autarki,2
autarkis,1
autentik,1
autentikasi,2
autentisitas,2
autisme,2
autistik,1
auto,2
autobiograf,2
autobiografi,2
autodidak,2
autodidaktik,1
autodin,2
autogami,2
autogen,1
autograf,2
autografi,2
autogram,2
autoklaf,2
autoklastik,2
autokrasi,2
autokrat,2
autokton,1
autolisis,2
autolitograf,2
automaton,2
automobil,2
automotif,1
autopsi,2
autosom,2
autotoksin,2
autotrof,2
autotrofik,1
avalans,2
aven,2
aversi,2
avertebrata,2
avesta,2
avgas,2
aviari,2
aviasi,2
aviator,2
avifauna,2
avikultur,2
avirulen,1
avitaminosis,2
avokad,2
avontur,2
avonturir,2
avtur,2
avunkulokal,2
awa,2
awaair,1
awaarang,1
awabau,1
awabeku,1
awabulu,1
awabusa,1
awadara,1
awah,1
awahama,1
awai,4
awak,2
awal,2
awalengas,4
awam,1
awamineral,1
awan,2
awanama,1
awang,2
awar,2
awaracun,1
awas,4
awat,3
awawarna,1
awet,1
awin,2
awur,4
awut,1
ayah,2
ayahanda,2
ayak,4
ayal,1
ayam,2
ayan,2
ayanda,2
ayap,4
ayar,2
ayat,2
ayatullah,2
ayem,1
ayeng,4
ayit,1
ayo,7
ayom,4
ayu,1
ayum,4
ayun,2
ayunda,2
ayut,4
azab,2
azal,1
azali,1
azam,1
azan,2
azeotrop,2
azimat,2
azimut,2
aziz,1
azmat,1
azoikum,2
azospermi,1
azurit,2
b,2
ba,2
bab,2
baba,2
babad,2
babak,2
babakan,2
babal,2
baban,4
babang,4
babas,4
babat,4
babatan,2
babe,2
babesiasis,2
babet,2
babi,2
babil,1
babit,4
bablas,4
babon,2
babu,2
babun,2
babur,1
babut,2
baca,4
bacah,4
bacak,1
bacang,2
bacar,1
bacek,1
bacem,4
bacik,2
bacin,1
baco,2
bacok,4
bacot,2
bacul,1
bacut,5
bad,2
badai,2
badak,2
badal,2
badam,2
badan,2
badang,2
badani,1
badar,2
badari,2
badasi,4
badau,2
bade,2
badi,2
badik,2
badminton,2
badong,2
badui,2
baduk,1
badung,2
badur,2
badut,2
baduyut,2
bafta,2
bagai,2
bagaimana,3
bagak,1
bagal,1
bagan,2
bagang,2
bagar,2
bagas,1
bagasi,2
bagat,2
bagau,2
bagea,2
bagi,9
baginda,2
bagong,1
bagor,2
baguk,2
bagul,4
bagur,1
bagus,1
bah,2
bahadur,2
bahaduri,1
bahagia,2
bahak,5
bahala,2
bahalan,2
baham,4
bahan,2
bahana,2
bahang,2
bahar,2
bahara,2
bahari,1
bahariwan,2
baharu,1
bahas,4
bahasa,2
bahasawan,2
bahaya,2
bahenol,1
baheula,5
bahimiah,1
bahkan,8
bahrulhayat,2
bahtera,2
bahu,2
bahuku,2
bahwa,8
bahwasanya,8
baiat,2
baid,1
baiduri,2
baik,1
bain,1
bainah,2
bais,2
bait,2
baitulharam,2
baitullah,2
baitulmakdis,2
baitulmakmur,2
